moduleCode,title,semesters
AR5958D,Topics in Urbanism 4,[1]
AR5958E,Topics in Urbanism 5,[1]
AR5958F,Topics in Urbanism 6,[1]
AR5958H,Topics in Urbanism 8,[2]
AR5958I,Topics in Urbanism 9,[2]
AR5959,Topics in Design Technology,[2]
AR5959A,Topics in Design Technology 1,[1]
AR5959B,Topics in Design Technology 2,[1]
AR5959C,Topics in Design Technology 3,[1]
AR5959D,Topics in Design Technology 4,[1]
AR5959E,Topics in Design Technology 5,[1]
AR6770,Phd Seminar,[1]
AS2237,The U.S.: From Settlement to Superpower,[1]
AS3238,The Political History of the US,[2]
ASP1201CH,H3 Humanities & Soc Sci Research Prog,"[2, 3, 4]"
ASP1201EC,H3 Humanities & Soc Sci Research Prog,"[2, 3, 4]"
ASP1201EN,H3 Humanities & Soc Sci Research Prog,"[2, 3, 4]"
ASP1201GE,H3 Humanities & Soc Sci Research Prog,"[2, 3, 4]"
ASP1201HY,H3 Humanities & Soc Sci Research Prog,"[2, 3, 4]"
ASP1201MS,H3 Humanities & Soc Sci Research Prog,"[2, 3, 4]"
AUD5114,Electrophysiological Assessment B,[1]
AUD5216,Vestibular Assessment and Management B,[1]
AUD5217,Hearing Devices and Rehabilitation B (Part 1),[1]
AUD5218,Clinical Audiology B (Part 1),[1]
AUD5219,Paediatric Audiology B - Part 1,[1]
AUD5220,Independent Studies in Audiology (Research project - part 1),[1]
AUD5221,Hearing Devices and Rehabilitation B (Part 2),[2]
AUD5222,Clinical Audiology B (Part 2),[2]
AUD5223,Paediatric Audiology B - Part 2,[2]
AUD5224,Independent Studies in Audiology (Research project - part 2),[2]
BAA6001,Accounting Research Seminars I,[2]
BAA6002,Accounting Research Seminars II,[1]
BBP6781,Theory of Strategic Management,[1]
BDC6112,Stochastic Processes I,[1]
BDC6113,Foundations of Inventory Management,[1]
BDC6248,Seminars In Operations Management I,[2]
BDC6249,Sem in Op Mgtm II,[2]
BDC6303,Queues and Stochastic Networks,[2]
BDC6304,Robust modelling and optimization,[2]
BHD4001,Honours Dissertation,[1]
BI3001A,Business Internship I,"[1, 2]"
BI3001B,Business Internship I,[1]
BI3001C,Business Internship I,[1]
BI3002A,Business Internship II,[1]
BI3002B,Business Internship II,[1]
BI3003,Work Experience Internship,[1]
BI3003A,Work Experience Internship,"[1, 2]"
BI3003B,Work Experience Internship,"[1, 2]"
BI3003C,Work Experience Internship,"[1, 2]"
BI3003D,Work Experience Internship,[1]
BIS3001,Independent Study Module in Business,"[1, 2]"
BIS3001A,Independent Study Module in Business,[1]
BL5102,Environmental Science,[1]
BL5198,Graduate Seminar Module in Biological Sciences,"[1, 2]"
BL5199,Research Project in Conservation and Nature-based Climate Solutions,"[1, 2, 3, 4]"
BL5201,Structural Biology And Proteomics,[1]
BL5202A,Biophysical Methods in Life Sciences,[2]
BL5203,Molecular Recognition and Interactions,[2]
BL5207A,Topics In Developmental Biology,[1]
BL5210,Biogeography,[2]
BL5213,Protein Design & Engineering,[2]
BL5214,Advanced Proteins Nmr,[1]
BL5215,Macromolecular X-Ray Crystallography,[1]
BL5216,Advanced Genetics and Genome Sciences,[2]
BL5217,Population Genomics and Phylogenomics,[2]
BL5218,Directed Studies in Behavioural Ecology,[2]
BL5220,Advanced Animal Development,[2]
BL5221,Plant and Microbial Development,[2]
BL5222,Cellular Mechanisms,[1]
BL5223,Advanced Molecular Genetics,[1]
BL5224,Signalling Mechanisms in Cancers and Metabolic Diseases,[2]
BL5228,Advances in Cell and Molecular Biology,[1]
BL5229,Fundamentals in Biophysical Sciences,[1]
BL5230,Biological Invasions,[1]
BL5232,Introduction to Bioimaging,[1]
BL5233,Data Analysis for Conservation Biology with R,[1]
BL5235,Advanced Optics for Microscopy,[1]
BL5236,Introduction to Electron Microscopy for Life Sciences,[1]
BL5239,Science and Communication,[1]
BL5299,Internship in Conservation and Nature-based Climate Solutions,"[1, 3, 4]"
BL5301,Conservation Problems and Practice,[1]
BL5302,Topics on Nature-based Climate Solutions,[2]
BL5311,Freshwater Conservation,[1]
BL5312,Natural History Collections and Conservation,[2]
BL5322,Field Techniques in Biological Conservation,[1]
BL5323,Spatial modelling for environmental sustainability,[2]
