moduleCode,title,semesters 
CS2040C,Data Structures and Algorithms,"[1, 2]"
CS2040S,Data Structures and Algorithms,"[1, 2]"
CS2100,Computer Organisation,"[1, 2]"
CS2101,Effective Communication for Computing Professionals,"[1, 2]"
CS2102,Database Systems,"[1, 2]"
CS2103,Software Engineering,"[1, 2]"
CS2103T,Software Engineering,"[1, 2]"
CS2104,Programming Language Concepts,[1]
CS2105,Introduction to Computer Networks,"[1, 2]"
CS2106,Introduction to Operating Systems,"[1, 2]"
CS2107,Introduction to Information Security,"[1, 2]"
CS2108,Introduction to Media Computing,[2]
CS2109S,Introduction to AI and Machine Learning,"[1, 2]"
CS2113,Software Engineering & Object-Oriented Programming,"[1, 2]"
CS2113T,Software Engineering & Object-Oriented Programming,"[1, 2]"
CS2220,Introduction to Computational Biology,[1]
CS2309,CS Research Methodology,[1]
CS3103,Computer Networks Practice,[1]
CS3203,Software Engineering Project,"[1, 2]"
CS3210,Parallel Computing,[1]
CS3211,Parallel and Concurrent Programming,[2]
CS3213,Foundations of Software Engineering,[2]
CS3216,Software Product Engineering for Digital Markets,[1]
CS3217,Software Engineering on Modern Application Platforms,[2]
CS3219,Software Engineering Principles and Patterns,[1]
CS3223,Database Systems Implementation,[2]
CS3230,Design and Analysis of Algorithms,"[1, 2]"
CS3230R,Design and Analysis of Algorithms,[1]
CS3231,Theory of Computation,[1]
CS3233,Competitive Programming,[2]
CS3234,Logic for Proofs and Programs,[2]
CS3235,Computer Security,"[1, 2]"
CS3236,Introduction to Information Theory,[2]
CS3236R,Introduction to Information Theory,[1]
CS3237,Introduction to Internet of Things,[1]
CS3240,Interaction Design,"[1, 2]"
CS3241,Computer Graphics,[1]
CS3241R,Computer Graphics,[1]
CS3242,3D Modeling and Animation,[2]
CS3243,Introduction to Artificial Intelligence,"[1, 2, 4]"
CS3244,Machine Learning,"[1, 2, 3]"
CS3245,Information Retrieval,[2]
CS3245R,Information Retrieval,[1]
CS3247,Game Development,[2]
CS3281,Thematic Systems Project I,[2]
CS3282,Thematic Systems Project II,[2]
CS4211,Formal Methods for Software Engineering,[1]
CS4212,Compiler Design,[1]
CS4215,Programming Language Implementation,[2]
CS4218,Software Testing,[2]
CS4220,Knowledge Discovery Methods in Bioinformatics,[2]
CS4221,Database Applications Design and Tuning,[2]
CS4222,Wireless Networking,[2]
CS4223,Multi-core Architectures,[1]
CS4224,Distributed Databases,[1]
CS4225,Big Data Systems for Data Science,"[1, 2]"
CS4226,Internet Architecture,[1]
CS4231,Parallel and Distributed Algorithms,[2]
CS4234,Optimisation Algorithms,[1]
CS4236,Cryptography Theory and Practice,[1]
CS4238,Computer Security Practice,[2]
CS4239,Software Security,[1]
CS4240,Interaction Design for Virtual and Augmented Reality,[2]
CS4242,Social Media Computing,[2]
CS4243,Computer Vision and Pattern Recognition,"[1, 2]"
CS4244,Knowledge Representation and Reasoning,[2]
CS4246,AI Planning and Decision Making,"[1, 2]"
CS4247,Graphics Rendering Techniques,[2]
CS4248,Natural Language Processing,"[1, 2]"
CS4249,Phenomena and Theories of Human-Computer Interaction,[2]
CS4261,Algorithmic Mechanism Design,[1]
CS4268,Quantum Computing,[2]
CS4269,Fundamentals of Logic in Computer Science,[2]
CS4277,3D Computer Vision,[2]
CS4278,Intelligent Robots: Algorithms and Systems,"[1, 2]"
CS4330,Combinatorial Methods in Bioinformatics,[2]
CS4347,Sound and Music Computing,"[1, 2]"
CS4350,Game Development Project,[1]
CS5215,Constraint Processing,[2]
CS5218,Principles and Practice of Program Analysis,[2]
CS5219,Automated Software Validation,[1]
CS5222,Advanced Computer Architecture,[2]
CS5223,Distributed Systems,"[1, 2]"
CS5224,Cloud Computing,[2]
CS5228,Knowledge Discovery and Data Mining,"[1, 2]"
CS5229,Advanced Computer Networks,[1]
CS5230,Computational Complexity,[2]
CS5231,Systems Security,[1]
CS5232,Formal Specification and Design Techniques,[2]
CS5233,Simulation and Modelling Techniques,[2]
CS5234,Algorithms at Scale,[1]
CS5236,Advanced Automata Theory,[1]
CS5238,Advanced Combinatorial Methods in Bioinformatics,[1]
CS5239,Computer System Performance Analysis,[1]
CS5240,Theoretical Foundations in MultiMedia,[1]
CS5242,Neural Networks and Deep Learning,"[1, 2]"
CS5246,Text Mining,[2]
CS5250,Advanced Operating Systems,[2]
CS5260,Neural Networks and Deep Learning II,[2]
CS5321,Network Security,[2]
CS5322,Database Security,[1]
CS5330,Randomized Algorithms,[2]
CS5331,Web Security,[2]
CS5332,Biometric Authentication,[2]
CS5339,Theory and Algorithms for Machine Learning,[2]
CS5340,Uncertainty Modelling in AI,"[1, 2]"
CS5344,Big-Data Analytics Technology,"[1, 2]"
CS5346,Information Visualisation,[2]
CS5421,Database Applications Design and Tuning,[2]
CS5422,Wireless Networking,[2]
CS5424,Distributed Databases,[1]
CS5425,Big Data Systems for Data Science,"[1, 2]"
CS5439,Software Security,[1]
CS5446,AI Planning and Decision Making,"[1, 2]"
CS5461,Algorithmic Mechanism Design,[1]
CS5469,Fundamentals of Logic in Computer Science,[2]
CS5477,3D Computer Vision,[2]
CS5478,Intelligent Robots: Algorithms and Systems,"[1, 2]"
CS5562,Trustworthy Machine Learning,[1]
CS6101,Exploration of Computer Science Research,"[1, 2]"
CS6203,Advanced Topics in Database Systems,[1]
CS6206,Advanced Topics in Human-Computer Interaction,[2]
CS6207,Advanced Natural Language Processing,[2]
CS6208,Advanced Topics in Artificial Intelligence,[2]
CS6215,Advanced Topics in Program Analysis,[2]
CS6216,Advanced Topics in Machine Learning,[1]
CS6217,Topics in Prog. Languages & Software Engineering,[1]
CS6218,Principles of Prog. Languages & Software Engineering,[1]
CS6219,Advanced Topics in Computer Systems,[1]
CS6220,Advanced Topics in Data Mining,[2]
CS6222,Advanced Topics in Computational Biology,[1]
CS6231,Advanced Topics in Security and Privacy,[1]
CS6234,Advanced Algorithms,[1]
CS6235,Advanced Topics in Theoretical Computer Science,[2]
CS6240,Multimedia Analysis,[2]
CS6244,Advanced Topics in Robotics,[2]
CSA6770,Graduate Research Seminar,[2]
CSA6880,Topics in Cultural Studies in Asia,[2]
DAO1704,Decision Analytics using Spreadsheets,"[1, 2]"
DAO1704X,Decision Analytics using Spreadsheets,"[1, 2]"
DAO2702,Programming for Business Analytics,"[1, 2]"
DAO2703,Operations and Technology Management,"[1, 2]"
DBA3701,Introduction to Optimization,"[1, 2]"
DBA3702,Descriptive Analytics with R,"[1, 2]"
DBA3711,Stochastic Models in Management,"[1, 2]"
DBA3751,Independent Study in Business Analytics,[1]
DBA3803,Predictive Analytics in Business,"[1, 2]"
DBA4711,Applied Analytics,[2]
DBA4712,Causal Analytics for Managerial Decisions,"[1, 2]"
DBA4751,Advanced Independent Study in Business Analytics,[1]
DBA4761,Seminars in Analytics,[1]
DBA4811,Analytical Tools for Consulting,"[1, 2]"
DBA5101,Analytics in Managerial Economics,[1]
DBA5102,Business Analytics Capstone Project,"[1, 2, 3, 4]"
DBA5103,Operations Research and Analytics,[1]
DBA5104,Introduction to Network Science & Analytics,[2]
DBA5105,"Fintech, Enabling Technologies and Analytics",[2]
DBA5106,Foundation in Business Analytics,[1]
DBA5107,Data Analytics in Banking,[2]
DBA5109,Quantitative Risk Management,[2]
DBA5110,Technology Innovation and Entrepreneurship,[2]
DE5106,Environmental Management And Assessment,[1]
DE5107,Environmental Planning,[2]
DE5108,Study Report,"[1, 2]"
DE5109,Dissertation,"[1, 2]"
DE5269,Environmental Economics and Sustainable Development,[1]
DEP5101,Urban Analysis Workshop,[1]
DEP5101A,Qualitative Methods for Urban Planning,[1]
DEP5102,Urban Planning History & Theory,[2]
DEP5103,Urban and Regional Planning,[1]
DEP5104,Urban and Regional Economics,[1]
DEP5105,Urban Infrastructure and Mobility Systems,[1]
DEP5106,Integrated Urban Planning Studio,[2]
DEP5107,Dissertation,[2]
DEP5108,MUP Internship Module,[1]
DEP5109,Integrated Planning Project,[2]
DEP5110,Urban Design and Planning,"[1, 2]"
DEP5111,Planning Technologies,[2]
DEP5112,Planning Policy and Process,[1]
DEP5113,Quantitative Methods for Urban Planning,[2]
DI5100,Dental Implantology,"[1, 2]"
DI5200,Graduate Diploma in Geriatric Dentistry,"[1, 2]"
DL5102,Digital Agility and Change Leadership,[1]
DL5107,Digital Leadership Capstone Project,[1]
DL5202,Digital Business Strategy,[1]
DL5301,Talent and Leadership Pathways,[1]
DL5303,Digital Governance,[1]
DMA1401L01,Design Your Own Module,[1]
DMB1201ACC,Design Your Own Module,[2]
DMB1201BSP,Design Your Own Module,"[1, 2]"
DMB1201DAO,Design Your Own Module,"[1, 2]"
DMB1201DO,Design Your Own Module,"[1, 2]"
DMB1201FIN,Design Your Own Module,"[1, 2]"
DMB1201MKT,Design Your Own Module,"[1, 2]"
DMB1201MNO,Design Your Own Module,[1]
DMB1202ACC,Design Your Own Module,"[1, 2]"
DMB1202BSP,Design Your Own Module,"[1, 2]"
DMB1202DAO,Design Your Own Module,"[1, 2]"
DMB1202DO,Design Your Own Module,[1]
DMB1202FIN,Design Your Own Module,"[1, 2]"
DMB1202MKT,Design Your Own Module,"[1, 2]"
DMB1202MNO,Design Your Own Module,"[1, 2]"
DMB1203ACC,Design Your Own Module,[2]
DMB1203BSP,Design Your Own Module,[2]
DMB1203DAO,Design Your Own Module,[2]
DMB1203DO,Design Your Own Module,[2]
DMB1203FIN,Design Your Own Module,[2]
DMB1203MKT,Design Your Own Module,[2]
DMB1203MNO,Design Your Own Module,[2]
DMB1204ACC,Design Your Own Module,[2]
DMB1204BSP,Design Your Own Module,[2]
DMB1204DAO,Design Your Own Module,[2]
DMB1204DO,Design Your Own Module,[2]
DMB1204FIN,Design Your Own Module,[2]
DMB1204MKT,Design Your Own Module,[2]
DMB1204MNO,Design Your Own Module,[2]
DMC1401,Design Your Own Module,[1]
DMC1401CS,Design Your Own Module,[1]
DMC1401IS,Design Your Own Module,[1]
DMR1201GEQA,Design Your Own Module,[1]
DMS1401CM,Design Your Own Module,[1]
DMX1101,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1101AI,Design Your Own Module,"[1, 2, 3, 4]"
DMX1101CT,Design Your Own Module,"[1, 2, 3, 4]"
DMX1102,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1103,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1104,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1105,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1106,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1107,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1108,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1201,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1201AI,Design Your Own Module,"[1, 2, 3, 4]"
DMX1201CT,Design Your Own Module,"[1, 2, 3, 4]"
DMX1202,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1203,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1204,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1301,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1301AI,Design Your Own Module,"[1, 2, 3, 4]"
DMX1301CT,Design Your Own Module,"[1, 2, 3, 4]"
DMX1302,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1401,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1401AI,Design Your Own Module,"[1, 2, 3, 4]"
DMX1401CT,Design Your Own Module,"[1, 2, 3, 4]"
DMX1402,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1501,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1501AI,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1501CT,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1601,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1701,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMX1801,DYOM via edX MOOC,"[1, 2, 3, 4]"
DMY1201RF,Design Your Own Module,"[1, 2]"
DMY1401EH,Design Your Own Module,[1]
DMY1401ELC,Design Your Own Module,"[1, 2]"
DMY1401FA,Design Your Own Module,"[1, 2]"
DMY1401HL,Design Your Own Module,[1]
DMY1401PGP,Design Your Own Module,"[1, 2]"
DMY1401PSP,Design Your Own Module,"[1, 2]"
DMY1401RF,Design Your Own Module,"[1, 2]"
DMY1401SOG,Design Your Own Module,"[1, 2]"
DMY1401TSG,Design Your Own Module,[1]
DMY1401TT,Design Your Own Module,[1]
DOS3701,Supply Chain Management,"[1, 2]"
DOS3702,Procurement Management,"[1, 2]"
DOS3703,Service Operations Management,"[1, 2]"
DOS3704,Operations Strategy,"[1, 2]"
DOS3712,Physical Distribution Management,[1]
DOS3714,Sustainable Operations Management,"[1, 2]"
DOS3751,Independent Study in Ops & Supply Chain Management,[1]
DOS3752,Independent Study in Ops & Supply Chain Management (2 MC),[1]
DOS3811,Technology and Business Innovation,[2]
DOS4712,Co-ordination and Flexibility in SCM,[1]
DOS4714,Service Design,[2]
DOS4751,Advanced Independent Study in Ops & Supply Chain Mgt,[1]
DOS4752,Advanced Independent Study in Ops & Supply Chain Mgt (2 MC),[1]
DOS4811,Data Visualisation,"[1, 2]"
DOS5101,Supply Chain Coordination and Risk Management,"[1, 2]"
DOS5101A,Managing the Financial Supply Chain,[2]
DOS5102,Analytical Tools for Consulting,"[1, 2]"
DOS5104,Sustainable Supply Chains,[2]
DOS5106,Supply Chain Models and Strategies,[1]
DSA1101,Introduction to Data Science,"[1, 2]"
DSA2101,Essential Data Analytics Tools: Data Visualisation,"[1, 2]"
DSA2102,Essential Data Analytics Tools: Numerical Computation,"[1, 2]"
DSA3101,Data Science in Practice,"[1, 2]"
DSA3102,Essential Data Analytics Tools: Convex Optimisation,"[1, 2]"
DSA3310,FOS Undergraduate Professional Internship Programme 2ST,"[3, 4]"
DSA3311,Undergraduate Professional Internship Programme,"[3, 4]"
DSA3312,Enhanced Undergraduate Professional Internship Programme,"[1, 2]"
DSA3361,Inferential Data Analytics,[1]
DSA4199,Honours Project in Data Science and Analytics,"[1, 2]"
DSA4211,High-Dimensional Statistical Analysis,[1]
DSA4212,Optimisation for Large-Scale Data-Driven Inference,[2]
DSA4262,Sense-making Case Analysis: Health and Medicine,"[1, 2]"
DSA4299,Applied Project in Data Science and Analytics,"[1, 2]"
DSA4299C,Applied Project in Data Science and Analytics,[1]
DSA5101,Introduction to Big Data for Industry,[1]
DSA5102,Foundations of Machine Learning,[1]
DSA5201,DSML Industry Consulting and Applications Project,"[1, 2, 3, 4]"
DSA5202,Advanced Topics in Machine Learning,[2]
DSA5203,Visual Data Processing and Interpretation,[2]
DSA5204,Deep Learning and Applications,[2]
DSA5205,Data Science in Quantitative Finance,[1]
DSA5812,Data Analytics: Further Principles and Practice,[2]
DSA5821,Data Visualisation: Principles and Practice,[2]
DSA5822,Data Visualisation: Further Principles and Practice,"[1, 2]"
DSA5831,Learning from Data: Principles and Practice,"[1, 2]"
DSA5841,Learning from Data: Decision Trees,"[1, 2]"
DSA5842,Learning from Data: Support Vector Machines,"[1, 2]"
DSA5843,Learning from Data: Neural Networks,"[1, 2]"
DSC3201,Supply Chain Management,"[1, 2]"
DSC3202,Procurement Management,"[1, 2]"
DSC3203,Service Operations Management,"[1, 2]"
DSC3214,Introduction To Optimisation,"[1, 2]"
DSC3215,Stochastic Models In Management,"[1, 2]"
DSC3216,Predictive Analytics in Business,"[1, 2]"
DSC3226,Sustainable Operations Management,"[1, 2]"
DSC3229,Independent Study in Ops & Supply Chain Mgt,[1]
DSC4211G,SIOSCM: Service Design,[2]
DSC4213,Analytical Tools for Consulting,"[1, 2]"
DSC4214,Co-ordination and Flexibility in SCM,"[1, 2]"
DSC4215,Data Visualisation,"[1, 2]"
DSC4219,Advanced Independent Study in Ops & Supply Chain Mgt,[1]
DSC5221A,Managing the Financial Supply Chain,[2]
DSE1101,Introductory Data Science for Economics,[1]
DTK1234,Design Thinking,"[1, 2]"
DTK1234A,Design Thinking,[1]
DTS5701,Large Scale Systems Engineering,[1]
DTS5702,C3 Systems,[1]
DTS5703,Operations Research,[2]
DTS5711,Integration Project,"[1, 2]"
DTS5712,Thesis Project,"[1, 2]"
DTS5731,Fundamentals of Systems Engineering,[2]
DTS5732,Artificial Intelligence and Data Analytics,"[1, 2]"
DTS5733,Sensors and Intelligence,[2]
DTS5734,Guided Systems,[1]
DTS5735,Cybersecurity,[1]
DTS5736,Systems Design Project,"[1, 2]"
DY5190,Graduate Seminar module,"[1, 2]"
DY5310,Endodontics,"[1, 2]"
DY5320,Oral & Maxillofacial Surgery,"[1, 2]"
DY5330,Orthodontics,"[1, 2]"
DY5340,Periodontology,"[1, 2]"
DY5350,Prosthodontics,"[1, 2]"
DY5360,Paediatric Dentistry,"[1, 2]"
EBA5001,Analytics Project Management,"[1, 2]"
EBA5002,Business Analytics Practice,[1]
EBA5003,Customer Analytics,"[1, 2]"
EBA5004,Practical Language Processing,"[1, 2]"
EBA5005,Specialized Predictive Modelling and Forecasting,[1]
EBA5006,Big Data Analytics,[1]
EBA5007,Capstone Project in Data Analytics,"[1, 2]"
EC1101E,Introduction to Economic Analysis,"[1, 2]"
EC2101,Microeconomic Analysis I,"[1, 2]"
EC2102,Macroeconomic Analysis I,"[1, 2]"
EC2104,Quantitative Methods for Economic Analysis,"[1, 2]"
EC2205,Economic Analysis of Business,"[1, 2]"
EC2303,Foundations for Econometrics,"[1, 2]"
EC2374,Economy of Modern China I,[1]
EC2383,Environmental Economics,[2]
EC2880B,Topics in Economics: Miracle and Crisis in East Asia,[4]
EC3101,Microeconomic Analysis II,"[1, 2]"
EC3102,Macroeconomic Analysis II,"[1, 2]"
EC3303,Econometrics I,"[1, 2]"
EC3304,Econometrics II,"[1, 2]"
EC3305,Programming Tools for Economics,"[1, 2]"
EC3312,Game Theory & Applications to Economics,"[1, 2]"
EC3322,Industrial Organisation I,[2]
EC3332,Money and Banking I,"[1, 2]"
EC3333,Financial Economics I,"[1, 2]"
EC3342,International Trade I,"[1, 2]"
EC3343,International Finance I,"[1, 2]"
EC3351,Public Finance,[2]
EC3361,Labour Economics I,[2]
EC3381,Urban Economics,[1]
EC3385,Maritime and Shipping Economics,[4]
EC3386,Port Economics,[4]
EC3391,Evolution of Economic Thought & Analysis,[1]
EC3394,Economics and Psychology,[2]
EC3396,Economic Analysis of Law I,[2]
EC3551,FASS Undergraduate Research Opportunity (UROP),"[1, 2]"
EC4301,Microeconomic Analysis III,"[1, 2]"
EC4302,Macroeconomic Analysis III,"[1, 2]"
EC4303,Econometrics III,"[1, 2]"
EC4304,Economic and Financial Forecasting,[1]
EC4305,Applied Econometrics,"[1, 2]"
EC4306,Applied Microeconomic Analysis,"[1, 2]"
EC4307,Issues in Macroeconomics,"[1, 2]"
EC4308,Machine Learning and Economic Forecasting,"[1, 2]"
EC4313,Search Theory and Applications,[2]
EC4324,Economics of Competition Policy,[1]
EC4325,The Economics of Digital Platforms,"[1, 2]"
EC4332,Money and Banking II,"[1, 2]"
EC4333,Financial Economics II,[1]
EC4343,International Finance II,"[1, 2]"
EC4351,Public Economics,[2]
EC4352,Singapore Economy: Practice and Policy,[2]
EC4354,Economics of Education,[1]
EC4355,Economics of Ageing,[1]
EC4361,Big data and Labour Market Analysis,[2]
EC4362,Immigration Economics,[1]
EC4371,Development Economics,"[1, 2]"
EC4372,Technology and Innovation,"[1, 2]"
EC4382,Transport Economics,[2]
EC4383,Environmental Economics and Policy,[2]
EC4391,Economics of Entrepreneurship,[2]
EC4394,Behavioural Economics,"[1, 2]"
EC4398,Economics of Inequality,[1]
EC4401,Honours Thesis,"[1, 2]"
EC4660,Independent Study,"[1, 2]"
EC4880,Topics in Economics,"[1, 2]"
EC4882,Topics in Applied Economics,[2]
EC5101,Microeconomic Theory,[1]
EC5101R,Microeconomic Theory,[1]
EC5102,Macroeconomic Theory,[1]
EC5102R,Macroeconomic Theory,[1]
EC5103,Econometric Modelling and Applications I,[1]
EC5103R,Econometric Modelling and Applications I,[1]
EC5104,Mathematics for Economists,[1]
EC5104R,Mathematics for Economists,[1]
EC5326,Policy Impact Evaluation Methods,"[1, 2]"
EC5326R,Policy Impact Evaluation Methods,"[1, 2]"
EC5342,International Trade,[2]
EC5342R,International Trade,[2]
EC5352,Public Economics,[2]
EC5352R,Public Economics,[2]
EC5361,Labour Economics,[1]
EC5361R,Labour Economics,[1]
EC5386,Issues in Port Economics,[4]
EC5387,Issues in Maritime and Shipping Economics,[4]
EC5387R,Issues in Maritime and Shipping Economics,[4]
EC5882,Topics in Macroeconomics,[2]
EC5882R,Topics in Macroeconomics,[2]
EC6101,Advanced Microeconomic Theory,[2]
EC6102,Advanced Macroeconomic Theory,[2]
EC6103,Econometric Modelling and Applications II,[2]
EC6104,Advanced Mathematics for Economists,[2]
EC6312,Advanced Game Theory,[2]
EC6371,Advanced Development Economics,[1]
EC6770,Graduate Research Seminar,"[1, 2]"
EC6881,Advanced Topics in Microeconomics,[2]
EC6882,Advanced Topics in Macroeconomics,[1]
EC6884,Behavioral and Experimental Economics,[2]
ECA5101,Microeconomics,[1]
ECA5102,Macroeconomics,[1]
ECA5103,Quantitative & Computing Methods,[1]
ECA5304,Machine Learning and Economic Forecasting,[2]
ECA5305,R Programming for Economists,[1]
ECA5307,Python Programming for Economists,[1]
ECA5313,Topics in Econometrics,[3]
ECA5325,Project & Policy Evaluation,[2]
ECA5333,Financial Markets & Portfolio Management,"[1, 2]"
ECA5334,Corporate Finance,"[1, 2]"
ECA5335,Derivative Securities,"[1, 4]"
ECA5337,Applied Financial Economics,[2]
ECA5342,Advanced International Trade,[2]
ECA5343,Advanced International Finance,[2]
ECA5371,Economic Growth And Development,[1]
ECA5372,Big Data Analytics and Technologies,[2]
ECA5373,The Singapore Economy,[2]
ECA5376,Auctions and Market Design,[2]
ECA5381,Urban Economics,[1]
ECA5396,Economics of Business and Law of Intellectual Assets,[2]
ECA5881,Topics in Economic Policy,[3]
ECA5884,Applied Behavioural Economics,[2]
EE1111A,Electrical Engineering Principles and Practice I,[1]
EE1111B,Electrical & Computer Engineering Principles & Practice,[3]
EE2011E,Engineering Electromagnetics,[2]
EE2012,Analytical Methods in Electrical and Computer Engineering,"[1, 2]"
EE2022,Electrical Energy Systems,"[1, 2]"
EE2023,Signals and Systems,"[1, 2]"
EE2023E,Signals and Systems,[2]
EE2026,Digital Design,"[1, 2]"
EE2027,Electronic Circuits,"[1, 2]"
EE2028,Microcontroller Programming and Interfacing,"[1, 2]"
EE2033,Integrated System Lab,"[1, 2]"
EE2111A,Electrical Engineering Principles and Practice II,[2]
EE2211,Introduction to Machine Learning,"[1, 2]"
EE3031,Innovation & Enterprise I,"[1, 2]"
EE3031E,Innovation & Enterprise I,[2]
EE3104C,Introduction to RF and Microwave Systems & Circuits,[1]
EE3131C,Communication Systems,[2]
EE3131E,Communication Systems,[1]
EE3305,Robotic System Design,[1]
EE3306,Introduction to Cyber Physical Systems,[1]
EE3331C,Feedback Control Systems,"[1, 2]"
EE3331E,Feedback Control Systems,[2]
EE3408C,Integrated Analog Design,[1]
EE3431C,Microelectronics Materials and Devices,"[1, 2]"
EE3501E,Power Electronics,[2]
EE3731C,Signal Analytics,[1]
EE3801,Data Engineering Principles,[1]
EE4001,B.Eng. Dissertation,"[1, 2, 3, 4]"
EE4002D,Design Capstone,"[1, 2, 3, 4]"
EE4002R,Research Capstone,"[1, 2, 3, 4]"
EE4031,Intellectual Property: Harnessing Innovation,[1]
EE4032,Blockchain Engineering,[1]
EE4101,RF Communications,[1]
EE4104,Microwave Circuits & Devices,[2]
EE4112,Radio Frequency Design and Systems,[1]
EE4204,Computer Networks,"[1, 2]"
EE4204E,Computer Networks,[1]
EE4210,Network Protocols and Applications,[2]
EE4210E,Network Protocols and Applications,[2]
EE4211,Data Science for the Internet of Things,[1]
EE4212,Computer Vision,[2]
EE4218,Embedded Hardware System Design,[2]
EE4302,Advanced Control Systems,"[1, 3]"
EE4303,Industrial Control Systems,[1]
EE4305,Fuzzy/Neural Systems for Intelligent Robotics,[2]
EE4305E,Introduction To Fuzzy/Neural Systems,[3]
EE4308,Autonomous Robot Systems,[2]
EE4309,Robot Perception,[1]
EE4407,Analog Electronics,[2]
EE4409,Modern Microelectronic Devices & Sensors,[2]
EE4415,Integrated Digital Design,[2]
EE4434,"Integrated Circuit Technology, Design and Testing",[2]
EE4435,Modern Transistors and Memory Devices,[1]
EE4436,Fabrication Process Technology,[1]
EE4436E,Fabrication Process Technology,[1]
EE4437,Photonics - Principles and Applications,[2]
EE4438,Solar Cells and Modules,[2]
EE4501,Power System Management And Protection,[1]
EE4502,Electric Drives & Control,[1]
EE4503,Power Electronics for Sustainable Energy Technologies,[2]
EE4505,Power Semiconductor Devices & ICs,[3]
EE4511,Renewable Generation and Smart Grid,[2]
EE4513,Electric Vehicles and their Grid Integration,[2]
EE4704,Image Processing and Analysis,[1]
EE4705,Human-Robot Interaction,[1]
EE4802,Learning from Data,[2]
EE5001,Independent Study Module I,"[1, 2]"
EE5002,Independent Study Module Ii,"[1, 2]"
EE5003,Electrical Engineering Project,"[1, 2]"
EE5020,Data Science for Internet of Things,[2]
EE5021,Cloud based Services for Internet of Things,[2]
EE5022,Cyber Security for Internet of Things,[2]
EE5023,Wireless Networks,[2]
EE5024,IoT Sensor Networks,[2]
EE5025,Intellectual Property: Innovations in IoT,[1]
EE5026,Machine Learning for Data Analytics,[1]
EE5027,Statistical Pattern Recognition,[1]
EE5028,Security for Industrial Control Systems,[1]
EE5040,Power Flow Modelling and Optimization,[1]
EE5041,Grid Stability and Security,[1]
EE5042,Building blocks of Smart grids,[2]
EE5043,Demand Side Management,[2]
EE5044,Energy Management for Buildings,[2]
EE5045,Industrial Energy Efficiency,[1]
EE5046,Renewable energy sources,[2]
EE5047,Renewable Energy Integration and Grid Codes,[2]
EE5060,Sensors and Instrumentation for Automation,[1]
EE5061,Industrial Control and Programming,[1]
EE5062,Autonomous Systems,[1]
EE5064,Dynamics and Control of Robot Manipulators,[2]
EE5065,Tenets of AI in Robotics,[2]
EE5101,Linear Systems,[1]
EE5103,Computer Control Systems,[1]
EE5104,Adaptive Control Systems,[2]
EE5106,Advanced Robotics,[2]
EE5110,Special Topics in Automation and Control,[1]
EE5111,Selected Topics in Industrial Control & Instrumentation,[1]
EE5134,Optical Communications and Networks,[2]
EE5135,Digital Communications,[2]
EE5139,Information Theory and its Applications,[1]
EE5303,Microwave Electronics,[1]
EE5308,Antenna Engineering,[1]
EE5431,Fundamentals of Nanoelectronics,[2]
EE5434,Microelectronic Processes and Integration,[2]
EE5441,Introduction to Nanoelectronics and Emerging Devices,[2]
EE5442,Memory Technologies and Their Emerging Applications,[2]
EE5502,Mos Devices,[1]
EE5507,Analog Integrated Circuits Design,[2]
EE5508,Semiconductor Fundamentals,"[1, 2]"
EE5517,Optical Engineering,[2]
EE5518,Vlsi Digital Circuit Design,[1]
EE5666,Industrial Attachment,"[1, 2]"
EE5701,High Voltage Testing and Switchgear,[2]
EE5702,Advanced Power System Analysis,[1]
EE5703,Industrial Drives,[1]
EE5711,Power Electronic Systems,[2]
EE5731,Visual Computing,[1]
EE5801,Electromagnetic Compatibility,[2]
EE5831,Electromagnetic Wave Theory,[1]
EE5904,Neural Networks,[2]
EE5907,Pattern Recognition,[1]
EE5999,Graduate Seminars,"[1, 2]"
EE6104,Adaptive Control Systems (Advanced),[2]
EE6110,Special Topics in Automation and Control (Advanced),[1]
EE6135,Digital Communications (Advanced),[2]
EE6139,Information Theory and its Applications (Advanced),[1]
EE6435,Advanced Concepts in Nanoelectronics,[1]
EE6437,Advanced Semiconductor Devices,[2]
EE6438,Magnetic materials and devices,[1]
EE6440,Advanced Topics in Photonics,[2]
